# HanPinyin 释义表：代码<TAB>中文释义（供《HanPinyin 词典》生成器使用）
# 未列出的单音节键自动标注为"音译字"；新增词条时请同步补一行。
nihao	你好
nihaoma	你好吗
zaoshanghao	早上好
wanan	晚安
zaijian	再见
xiexie	谢谢
xiexieni	谢谢你
bukeqi	不客气
duibuqi	对不起
baoqian	抱歉
meiguanxi	没关系
buhaoyisi	不好意思
mangmang	忙（很忙）
tamen	他们
dajia	大家
buhao	不好
cuole	错了
zhidaole	知道了
mingbai	明白
keyi	可以
buxing	不行
zuobian	左边
youbian	右边
zhongjian	中间
limian	里面
waimian	外面
tanke	坦克（坦克型英雄）
zhonglu	中路
shanglu	上路
daye	打野
xialu	下路
fuzhu	辅助
tuita	推塔
zhuaren	抓人（Gank）
chayan	插眼
xiaolong	小龙
dalong	大龙
tuanmie	团灭
touxiang	投降
jubao	举报
biaoji	标记（Ping）
qingxian	清线
huicheng	回城
lanbafu	蓝爸爸（蓝 buff）
hongbafu	红爸爸（红 buff）
tuanzhan	团战
kaituan	开团
shouta	守塔
fangyuta	防御塔
zhuangtai	状态
jiayou	加油
niubi	厉害（NB）
lihai	厉害
yulei	对不起（抱歉）
shengli	胜利
shibai	失败
shule	输了
yingle	赢了
youyisi	有意思
meiyisi	没意思
xianzai	现在
mashang	马上
dengyixia	等一下
wangle	忘了
xianzaina	现在在哪
laizheli	来这里
jingong	进攻
fangshou	防守
pengyou	朋友
duiyou	队友
diren	敌人
difang	地方（敌方）
zhushou	助手（帮我一下）
jiuming	救命
xiaoxin	小心
kuaipao	快跑
genwo	跟我（来）
yiqi	一起
kuaidian	快点
mandian	慢点
zhunbei	准备
zhunbeikaishi	准备，开始
kaishi	开始
jieshu	结束
ali	阿狸（英雄 Ahri）
jingkesi	金克丝（英雄 Jinx）
dimo	提莫（英雄 Teemo）
jialun	盖伦（英雄 Garen）
yasuo	亚索（英雄 Yasuo）
hanbing	寒冰（英雄 Ashe）
amumu	阿木木（英雄 Amumu）
nuoshou	诺手（英雄 Darius）
aike	艾克（英雄 Ekko）
faqiu	小法（英雄 Veigar）
xiaofa	小法（英雄 Veigar）
nitailihaile	你太厉害了
zhejuwoyingle	这局我赢了
xiajuzailai	下局再来
womenshenglile	我们胜利了
direnxiaoshile	敌人消失了
yiqishang	一起上
woxianzailai	我现在来
zanmentuiba	咱们撤退
batadale	（俚语）打爆了
woyaochixian	我要吃线
tataopaole	他逃跑了
qingbalong	打龙（把龙打掉）
shenglishiwomende	胜利是我们的
wozaixialu	我在下路
wozaizhonglu	我在中路
wozaishanglu	我在上路
wozaidaye	我在打野
wozaifuzhu	我在辅助
geiwoyan	给我眼（守卫）
hanyipan	再来一盘
zailaiyiju	再来一句（一盘）
pingdi	平地（평딩）
zhuangbei	装备
xiexiedajia	谢谢大家
chixian	吃线
shangdan	成长／发育
jineng	技能
zhaohuan	召唤
jingyan	经验（经验值）
jinbi	金币
mousha	击杀
zhusha	助攻
buchang	补偿
tianran	天然（自然）
gongjili	攻击力
fashu	法术（法强）
fangyu	防御
sudu	速度
xueliang	血量（生命值）
fali	法力（蓝量）
lengque	冷却（CD）
tianfu	天赋
zhaohuanshi	召唤师
pifu	皮肤
xuanshou	选择
jintian	今天
mingtian	明天
zuotian	昨天
yiqian	以前
yihou	以后
henjiu	很久
gangcai	刚才
weilai	未来
daan	答案
wenti	问题
yuanyin	原因
jieguo	结果
fangfa	方法
yisi	意思
ganjue	感觉
yiyang	一样
buyiyang	不一样
zhende	真的
jiade	假的
haode	好的
huaide	坏的
duide	对的
cuode	错的
dade	大的
xiaode	小的
duode	多的
shaode	少的
gaode	高的
aide	矮的（低的）
changde	长的
duande	短的
haojiubujian	好久不见
haojiubujianle	好久不见了
zuijinzenmeyang	最近怎么样
woxianzoule	我先走了
xiacijian	下次见
yihuierjian	一会儿见
mingtianjian	明天见
shengrikuaile	生日快乐
xinniankuaile	新年快乐
chucijianmian	初次见面
qingduozhijiao	请多指教
xinkule	辛苦了
wanshanghao	晚上好
huanying	欢迎
qingjin	请进
qingzuo	请坐
chifanlema	吃饭了吗
zenmele	怎么了
feichangganxie	非常感谢
duoxie	多谢
zhendeganxieni	真的感谢你
buyongxie	不用谢
qingyuanliang	请原谅
shilile	失礼了
qingshaodeng	请稍等
qingshaodengyixia	请稍等一下
meishi	没事
bangwoyixia	帮我一下
shide	是的
bushi	不是
buyao	不要
dangran	当然
zhendema	真的吗
taihaole	太好了
aiya	哎呀
hehe	呵呵（ㅎㅎ）
kule	哭了（ㅠㅠ）
woyeshi	我也是
suibian	随便
buzhidao	不知道
wobudong	我不懂
tingbudong	听不懂
zaishuoyibian	再说一遍
qingmanyidian	请慢一点（说）
qingdengyixia	请等一下
dengdeng	等等
nishuodedui	你说得对
kaixin	开心
nanguo	难过
shengqi	生气
leile	累了
wuliao	无聊
xingfu	幸福
danxin	担心
chijing	吃惊
haipa	害怕
xihuan	喜欢
taoyan	讨厌
xiangnian	想念
jinzhang	紧张
xinqinghao	心情好
xinqingbuhao	心情不好
xianmu	羡慕
qichuangle	起床了
shuijiao	睡觉
xizao	洗澡
chumen	出门
shangban	上班
xiaban	下班
huijia	回家
daojiale	到家了
zaijia	在家
shuidehao	睡得好
xiuxi	休息
zuofan	做饭
haochi	好吃
buhaochi	不好吃
ele	饿了
baole	饱了
yaoshui	要水
maidan	买单
dabao	打包
fuwuyuan	服务员
caidan	菜单
hejiu	喝酒
chifan	吃饭
chibaole	吃饱了
